"","GNIS_NAME","HUC6","temp","RepeatID","Yrange","size","barrier","length","numSpE","pisc","prosper","FHMN","LNDC","CRCH","SDSH","LNSU","WSU","EB","GSUN","CARP","LL","RB","LKCH","BRMN","PLMN","SCAT","SHRH","FHCH","RCSU","CCAT","PLSU"
"115","Spring Creek","1.012",19.99,319,18,11.3613872,0,152.195,7,1,0.683454549,NA,0,1,NA,NA,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"116","Spring Creek","1.012",20.09,318,19,11.69596036,0,152.195,4,1,0.67385455,NA,0,NA,NA,NA,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"117","Spring Creek","1.012",20.01,317,17,11.80117539,0,152.195,5,1,0.126309091,NA,0,1,NA,NA,1,0,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"118","Rapid Creek","1.012",17.29,316,18,27.7302496,0,37.268,3,1,0.744527268,NA,NA,NA,NA,NA,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"119","Rapid Creek","1.012",16.92,315,14,28.17470884,0,37.268,4,1,0.676951513,NA,0,NA,NA,NA,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"120","Rapid Creek","1.012",18.39,313,13,28.6407157,0,118.39,3,1,0.738466669,NA,NA,NA,NA,NA,1,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"121","Rapid Creek","1.012",18.68,312,18,29.76932355,0,118.39,3,1,0.72929091,NA,NA,NA,NA,NA,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"122","Rapid Creek","1.012",19.24,311,13,30.399594,0,118.39,8,1,0.739406062,NA,0,1,NA,NA,1,NA,0,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,0
"123","Rapid Creek","1.012",19.44,310,14,30.74821169,0,118.39,9,1,0.696969002,0,1,NA,NA,NA,1,NA,NA,NA,1,0,NA,NA,NA,NA,NA,0,NA,NA,0
"124","Rapid Creek","1.012",14.79,309,17,22.30404271,0,26.638,4,1,0.717315157,NA,NA,NA,NA,NA,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"125","Bear Butte Creek","1.012",14.99,308,17,0.90769557,0,96.15,4,0,0.472193937,NA,1,NA,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"126","Bear Butte Creek","1.012",14.99,307,16,0.90769557,0,96.15,4,0,0.40158788,NA,1,NA,NA,NA,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,0
"127","Bear Butte Creek","1.012",14.87,306,18,1.128129,0,96.15,5,0,0.521145455,NA,1,NA,NA,NA,0,1,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,1
