RepeatID,GNIS_NAME.x,GearMiss,Gear.x,Gear.y,Party.x,Party.y,Database.x,Database.y,Month.x,Month.y,F_MAUG_HIS.x,GNIS_NAME.y,F_MAUG_HIS.y
81,Blacks Fork,M,6 ft cs seine | 6 ft cs seine | 6 ft cs seine | 6 ft cs seine | 6 ft cs seine,0 | 0,CL Hubbs & family | CL Hubbs & family | CL Hubbs & family | CL Hubbs & family | CL Hubbs & family,0 | 0,"Global Biodiversity Information Facility University of Michigan Museum of Zoology, Division of Fishes | Global Biodiversity Information Facility University of Michigan Museum of Zoology, Division of Fishes | Global Biodiversity Information Facility Unive",Tiemann (UWyo) unpublished | Wyoming Game & Fish Dept,9,7,317.7722965,Blacks Fork,318.0457742
185,Laramie River,M,0 | | | | | | | | | |,Drifting watercraft and throwing electrodes | Drifting watercraft and throwing electrodes | Drifting watercraft and throwing electrodes | Drifting watercraft and throwing electrodes | Drifting watercraft and throwing electrodes | Drifting watercraft and,Collector(s): Wyoming Game and Fish Department | Collector(s): Wyoming Game and Fish Department | Collector(s): Wyoming Game and Fish Department | Collector(s): Wyoming Game and Fish Department | Collector(s): Wyoming Game and Fish Department | Collector,Hogberg | Hogberg | Hogberg | Hogberg | Hogberg | Hogberg | Hogberg | Hogberg | Hogberg | Hogberg | Hogberg | Hogberg | Hogberg | Hogberg | Hogberg | Hogberg | Hogberg | Hogberg | Hogberg | Hogberg | Hogberg | Hogberg | Hogberg | Hogberg | Hogberg | Hogb,Global Biodiversity Information Facility University of Wyoming Museum of Vertebrates (UWYMV) Fish specimens (Arctos) | Global Biodiversity Information Facility University of Wyoming Museum of Vertebrates (UWYMV) Fish specimens (Arctos) | Global Biodivers,Wyoming Game & Fish Dept,9,8,263.5005477,Laramie River,263.5005477
77,Blacks Fork,M,0 | 0 | 0 | 0,0 | 0,0 | 0 | Gelwicks | Gelwicks,0 | 0,Wyoming Game & Fish Dept | Wyoming Game & Fish Dept | WGFD(Gelwicks) | WGFD(Gelwicks),Tiemann (UWyo) unpublished | Wyoming Game & Fish Dept,9,8,261.5403078,Blacks Fork,261.1536495
83,Blacks Fork,M,0 | 0 | 0,0 | 0 | 0 | 0,0 | 0 | Gelwicks,0 | 0 | 0 | 0,Wyoming Game & Fish Dept | Wyoming Game & Fish Dept | WGFD(Gelwicks),Wyoming Game & Fish Dept | Wyoming Game & Fish Dept | Tiemann (UWyo) unpublished | Tiemann (UWyo) unpublished,8,8,259.43495,Blacks Fork,259.43495
179,Laramie River,M,E/S,E,Patton 1998,Hickerson 2016,Kirk 2020,Kirk 2020,0,0,258.4005158,Laramie River,259.2196287
193,Lodgepole Creek,M,| |,| | |,"Bazata, K. | ID by: Maret, T. | Bazata, K. | ID by: Maret, T. | Bazata, K. | ID by: Maret, T.",NDEQ | NDEQ | NDEQ | NDEQ,Global Biodiversity Information Facility University of Nebraska State Museum Fish Collection | Global Biodiversity Information Facility University of Nebraska State Museum Fish Collection | Global Biodiversity Information Facility University of Nebraska,Global Biodiversity Information Facility FHSM Fish Collection | Global Biodiversity Information Facility FHSM Fish Collection | Global Biodiversity Information Facility FHSM Fish Collection | Global Biodiversity Information Facility FHSM Fish Collection,7,8,254.722626,Lodgepole Creek,254.8992831
85,Blacks Fork,M,0 | 0,0,Gelwicks | Gelwicks,0,WGFD(Gelwicks) | WGFD(Gelwicks),Wyoming Game & Fish Dept,8,7,252.5468221,Blacks Fork,252.7941975
76,Blacks Fork,M,0 | 0 | 0 | 0 | 0,0 | 0,0 | 0 | 0 | Gelwicks | Gelwicks,0 | 0,Wyoming Game & Fish Dept | Wyoming Game & Fish Dept | Wyoming Game & Fish Dept | WGFD(Gelwicks) | WGFD(Gelwicks),Tiemann (UWyo) unpublished | Wyoming Game & Fish Dept,9,8,252.1018856,Blacks Fork,251.9377213
270,Powder River,M,| | | |,Seine,"Long, C A; Kerfoot, C | Long, C A; Kerfoot, C | Long, C A; Kerfoot, C | Long, C A; Kerfoot, C | Long, C A; Kerfoot, C",Stagliano 2014,Global Biodiversity Information Facility KUBI Ichthyology Collection | Global Biodiversity Information Facility KUBI Ichthyology Collection | Global Biodiversity Information Facility KUBI Ichthyology Collection | Global Biodiversity Information Facility,University of Wyoming Powder River dataset,6,0,247.4998374,Powder River,262.3231085
374,Medicine Bow River,M,S,0,Baxter and Simon 1960's,0,Kirk 2020,0,0,7,216.7895805,Medicine Bow River,216.7895805
