GNIS_NAME,RepeatID,pNat,pComm,nClnzSp,rGlac,Turnovr,huc6
Spring Creek,317,0.5,0.6,2,0.5,0.571428571,101201
Spring Creek,318,0.5,0.75,2,0.5,0.5,101201
Spring Creek,319,0.5,0.571428571,2,0.5,0.555555556,101201
Spring Creek,320,0.001,0.125,2,0.5,0.9,101201
Battle Creek,285,0.5,0.5,3,0.333333333,0.714285714,101201
Grace Coolidge Creek,288,0.999,0.999,1,0.999,0.2,101201
French Creek,291,0.75,0.571428571,0,0.666666667,0.428571429,101201
French Creek,293,0.75,0.8,0,0.666666667,0.2,101201
French Creek,294,0.8,0.833333333,2,0.75,0.375,101201
French Creek,292,0.75,0.8,0,0.666666667,0.2,101201
Fall River,296,0.5,0.333333333,4,0.666666667,0.857142857,101201
Fall River,297,0,0.001,4,0.999,0.999,101201
Fall River,295,0.25,0.142857143,2,0.5,0.888888889,101201
Flynn Creek,290,0.666666667,0.5,1,0.666666667,0.6,101201
Grizzly Bear Creek,289,0.999,0.8,0,0.999,0.2,101201
Rapid Creek,311,0.333333333,0.25,1,0.333333333,0.777777778,101201
Rapid Creek,310,0.333333333,0.333333333,0,0.4,0.666666667,101201
Rapid Creek,312,0.999,0.999,1,0.999,0.25,101201
Rapid Creek,313,0.999,0.666666667,1,0.999,0.5,101201
Rapid Creek,315,0.5,0.75,0,0.5,0.25,101201
Rapid Creek,316,0.999,0.999,0,0.999,0.001,101201
Rapid Creek,309,0.999,0.999,0,0.999,0.001,101201
Belle Fourche River,64,0.5,0.5,5,0.75,0.666666667,101202
Belle Fourche River,60,0.5,0.5,7,0.666666667,0.818181818,101202
Belle Fourche River,65,0.375,0.333333333,2,0.666666667,0.727272727,101202
Belle Fourche River,61,0.2,0.166666667,3,0.333333333,0.888888889,101202
Caballo Creek,427,0.001,0.001,0,0.001,0.999,101202
Inyan Kara Creek,136,0.285714286,0.222222222,2,0.5,0.818181818,101202
Inyan Kara Creek,428,0.333333333,0.444444444,2,0.666666667,0.636363636,101202
Inyan Kara Creek,137,0.666666667,0.666666667,0,0.5,0.333333333,101202
Belle Fourche River,63,0.8,0.666666667,2,0.666666667,0.428571429,101202
Whitewood Creek,300,0.166666667,0.166666667,3,0.333333333,0.888888889,101202
Whitewood Creek,299,0.5,0.666666667,4,0.666666667,0.714285714,101202
Whitewood Creek,301,0.666666667,0.75,0,0.666666667,0.25,101202
Whitewood Creek,302,0.999,0.75,0,0.999,0.25,101202
Whitewood Creek,303,0.5,0.75,0,0.5,0.25,101202
Whitewood Creek,304,0.999,0.75,0,0.999,0.25,101202
Whitewood Creek,305,0.999,0.999,0,0.999,0.001,101202
Bear Butte Creek,306,0.666666667,0.6,0,0.666666667,0.4,101202
Bear Butte Creek,308,0.666666667,0.75,0,0.666666667,0.25,101202
Bear Butte Creek,307,0.666666667,0.75,1,0.666666667,0.4,101202
Redwater Creek,286,0.333333333,0.5,1,0.333333333,0.6,101202
Sand Creek,278,0.5,0.6,0,0.001,0.4,101202
Redwater Creek,261,0.999,0.666666667,1,0.999,0.5,101202
,287,0.666666667,0.75,0,0.999,0.25,101202
Yellowstone River,27,0.001,0.666666667,3,0.5,0.666666667,100700
