"","formula","predictors","n_predictors","model_type","loocv_score","AIC","delta_loocv","delta_AIC"
"1","pCol ~ 1","(intercept only)",0,"intercept",0.0845980318254114,334.522597248173,0.0180421438901812,28.1663280992567
"113","pCol ~ length * size * prosper * crop","length,size,prosper,crop",4,"full_interactions",0.0846628030032185,347.850345833894,0.0181069150679883,41.4940766849779
"71","pCol ~ barrier * size * prosper","barrier,size,prosper",3,"full_interactions",0.0847205248114969,342.317824825819,0.0181646368762666,35.9615556769027
"111","pCol ~ barrier * size * prosper * crop","barrier,size,prosper,crop",4,"full_interactions",0.0848601230539803,347.595931436286,0.01830423511875,41.2396622873701
"10","pCol ~ prosper","prosper",1,"additive",0.084908268113,336.398377371889,0.0183523801777697,30.042108222973
"11","pCol ~ prosper","prosper",1,"full_interactions",0.084908268113,336.398377371889,0.0183523801777697,30.042108222973
"4","pCol ~ barrier","barrier",1,"additive",0.0849523530011377,336.444792861076,0.0183964650659074,30.0885237121605
"5","pCol ~ barrier","barrier",1,"full_interactions",0.0849523530011377,336.444792861076,0.0183964650659074,30.0885237121605
"75","pCol ~ barrier * prosper * crop","barrier,prosper,crop",3,"full_interactions",0.0849530024100517,339.153498654751,0.0183971144748214,32.797229505835
"67","pCol ~ barrier * length * prosper","barrier,length,prosper",3,"full_interactions",0.0853093318708954,344.387921546099,0.0187534439356651,38.0316523971836
"28","pCol ~ barrier + prosper","barrier,prosper",2,"additive",0.0853114775941556,338.344903442414,0.0187555896589253,31.988634293498
"109","pCol ~ barrier * length * prosper * crop","barrier,length,prosper,crop",4,"full_interactions",0.0854581775321247,348.54331379303,0.0189022895968944,42.1870446441143
"29","pCol ~ barrier * prosper","barrier,prosper",2,"full_interactions",0.0856356056603498,339.566427514779,0.0190797177251195,33.2101583658635
"105","pCol ~ barrier * length * size * prosper","barrier,length,size,prosper",4,"full_interactions",0.0858565440158114,353.942221208654,0.0193006560805812,47.585952059738
"125","pCol ~ barrier * length * size * prosper * crop","barrier,length,size,prosper,crop",5,"full_interactions",0.0908550457225498,372.809081591057,0.0242991577873196,66.4528124421412
"127","pCol ~ temp * barrier * length * size * prosper * crop","temp,barrier,length,size,prosper,crop",6,"full_interactions",0.0995734038363433,402.099455868531,0.0330175159011131,95.743186719615
