"","formula","predictors","n_predictors","model_type","loocv_score","AIC","delta_loocv","delta_AIC"
"73","pNat ~ temp * length * crop","temp,length,crop",3,"full_interactions",0.0868494142060915,357.473625451556,0.00160144187931702,6.98206906069652
"24","pNat ~ temp + crop","temp,crop",2,"additive",0.0868678376491076,354.286148887681,0.00161986532233316,3.79459249682128
"78","pNat ~ temp + size + crop","temp,size,crop",3,"additive",0.0869727659572748,354.773973654862,0.00172479363050033,4.2824172640025
"64","pNat ~ temp + barrier + crop","temp,barrier,crop",3,"additive",0.087049792059852,355.628716560692,0.0018018197330775,5.13716016983267
"25","pNat ~ temp * crop","temp,crop",2,"full_interactions",0.0870564168750761,356.162549510939,0.00180844454830169,5.67099312007929
"82","pNat ~ temp + prosper + crop","temp,prosper,crop",3,"additive",0.0871877904511686,355.405966609418,0.0019398181243941,4.91441021855809
"138","pNat ~ temp + barrier + size + crop","temp,barrier,size,crop",4,"additive",0.087354597226118,356.520063659966,0.00210662489934352,6.02850726910634
"160","pNat ~ temp + size + prosper + crop","temp,size,prosper,crop",4,"additive",0.0873576662554204,356.252595482471,0.00210969392864591,5.76103909161134
"86","pNat ~ temp + crop + pisc","temp,crop,pisc",3,"additive",0.0874682559306053,356.618024398848,0.00222028360383088,6.12646800798848
"142","pNat ~ temp + barrier + prosper + crop","temp,barrier,prosper,crop",4,"additive",0.08747733610752,356.976471885026,0.00222936378074552,6.48491549416678
"164","pNat ~ temp + size + crop + pisc","temp,size,crop,pisc",4,"additive",0.0875974391456723,356.986223690543,0.00234946681889786,6.4946672996831
"146","pNat ~ temp + barrier + crop + pisc","temp,barrier,crop,pisc",4,"additive",0.0876732069218703,357.854209602366,0.00242523459509585,7.36265321150603
"155","pNat ~ temp * length * prosper * crop","temp,length,prosper,crop",4,"full_interactions",0.087699686430392,359.966881519892,0.00245171410361757,9.47532512903183
"210","pNat ~ temp + barrier + size + prosper + crop","temp,barrier,size,prosper,crop",5,"additive",0.0877975565655411,358.103985624421,0.00254958423876667,7.61242923356104
"166","pNat ~ temp + prosper + crop + pisc","temp,prosper,crop,pisc",4,"additive",0.0878013148679387,357.72823636811,0.0025533425411642,7.23667997725079
"214","pNat ~ temp + barrier + size + crop + pisc","temp,barrier,size,crop,pisc",5,"additive",0.0879855855450438,358.649882839782,0.00273761321826937,8.15832644892276
"226","pNat ~ temp + size + prosper + crop + pisc","temp,size,prosper,crop,pisc",5,"additive",0.0879902838048745,358.452549281914,0.0027423114781,7.96099289105479
"216","pNat ~ temp + barrier + prosper + crop + pisc","temp,barrier,prosper,crop,pisc",5,"additive",0.0881061819180334,359.189735503293,0.00285820959125897,8.6981791124332
"165","pNat ~ temp * size * crop * pisc","temp,size,crop,pisc",4,"full_interactions",0.088401103654756,368.535963791108,0.00315313132798151,18.0444074002483
"248","pNat ~ temp + barrier + size + prosper + crop + pisc","temp,barrier,size,prosper,crop,pisc",6,"additive",0.0884341651024513,360.222843900697,0.00318619277567683,9.73128750983739
"65","pNat ~ temp * barrier * crop","temp,barrier,crop",3,"full_interactions",0.0889572545597913,362.798014363078,0.00370928223301684,12.3064579722181
"79","pNat ~ temp * size * crop","temp,size,crop",3,"full_interactions",0.0896616565870579,360.510032476073,0.00441368426028346,10.0184760852138
"209","pNat ~ temp * barrier * length * crop * pisc","temp,barrier,length,crop,pisc",5,"full_interactions",0.0898589397715745,377.252474351641,0.00461096744480008,26.7609179607817
"159","pNat ~ temp * length * crop * pisc","temp,length,crop,pisc",4,"full_interactions",0.0899766950285768,371.111878694785,0.0047287227018023,20.6203223039252
"87","pNat ~ temp * crop * pisc","temp,crop,pisc",3,"full_interactions",0.0899797157169249,363.417659490072,0.0047317433901504,12.9261030992122
"143","pNat ~ temp * barrier * prosper * crop","temp,barrier,prosper,crop",4,"full_interactions",0.090205941331263,356.939794385197,0.00495796900448849,6.44823799433726
"147","pNat ~ temp * barrier * crop * pisc","temp,barrier,crop,pisc",4,"full_interactions",0.0906828518244694,361.423366168231,0.00543487949769497,10.9318097773711
"161","pNat ~ temp * size * prosper * crop","temp,size,prosper,crop",4,"full_interactions",0.0911148051329725,358.599071831835,0.00586683280619808,8.10751544097485
"92","pNat ~ barrier + length + crop","barrier,length,crop",3,"additive",0.0911168360525561,364.862742086812,0.00586886372578169,14.3711856959525
"34","pNat ~ barrier + crop","barrier,crop",2,"additive",0.0914448845481717,365.561697778068,0.00619691222139727,15.0701413872087
"58","pNat ~ temp + barrier + length","temp,barrier,length",3,"additive",0.091539242931836,362.438902373763,0.00629127060506159,11.9473459829035
"174","pNat ~ barrier + length + prosper + crop","barrier,length,prosper,crop",4,"additive",0.0915746775176169,365.646544723759,0.00632670519084243,15.1549883328991
"170","pNat ~ barrier + length + size + crop","barrier,length,size,crop",4,"additive",0.0916344504501159,366.889839906789,0.00638647812334142,16.3982835159297
"178","pNat ~ barrier + length + crop + pisc","barrier,length,crop,pisc",4,"additive",0.0916874402432688,367.262736695156,0.00643946791649436,16.7711803042967
"102","pNat ~ barrier + prosper + crop","barrier,prosper,crop",3,"additive",0.0918293407078501,365.948667652543,0.00658136838107568,15.4571112616835
"139","pNat ~ temp * barrier * size * crop","temp,barrier,size,crop",4,"full_interactions",0.0918639029017822,370.149509787686,0.00661593057500778,19.6579533968263
"12","pNat ~ crop","crop",1,"additive",0.0919388425284464,365.519160854134,0.00669087020167196,15.0276044632745
"13","pNat ~ crop","crop",1,"full_interactions",0.0919388425284464,365.519160854134,0.00669087020167196,15.0276044632745
"42","pNat ~ length + crop","length,crop",2,"additive",0.0919548217086808,365.758593198543,0.00670684938190634,15.2670368076836
"133","pNat ~ temp * barrier * length * crop","temp,barrier,length,crop",4,"full_interactions",0.0919957831002761,370.327782928902,0.0067478107735016,19.8362265380421
"98","pNat ~ barrier + size + crop","barrier,size,crop",3,"additive",0.0920141945475321,367.44726119669,0.00676622222075764,16.9557048058306
"130","pNat ~ temp + barrier + length + prosper","temp,barrier,length,prosper",4,"additive",0.0920511032480173,364.731652253996,0.00680313092124284,14.240095863136
"128","pNat ~ temp + barrier + length + size","temp,barrier,length,size",4,"additive",0.0920660154231685,364.447671081091,0.00681804309639407,13.9561146902316
"228","pNat ~ barrier + length + size + prosper + crop","barrier,length,size,prosper,crop",5,"additive",0.0920720527612035,367.639127994356,0.00682408043442907,17.1475716034962
"71","pNat ~ temp * length * prosper","temp,length,prosper",3,"full_interactions",0.092075288436938,365.301832667517,0.00682731611016349,14.8102762766572
"106","pNat ~ barrier + crop + pisc","barrier,crop,pisc",3,"additive",0.0920856477714595,367.932426283668,0.006837675444685,17.4408698928081
"151","pNat ~ temp * length * size * crop","temp,length,size,crop",4,"full_interactions",0.092127054618754,370.623087940433,0.00687908229197949,20.1315315495731
"18","pNat ~ temp + length","temp,length",2,"additive",0.0921299403743591,362.960318144234,0.0068819680475846,12.4687617533748
"52","pNat ~ prosper + crop","prosper,crop",2,"additive",0.0921363751345233,365.296673985062,0.00688840280774881,14.8051175942022
"43","pNat ~ length * crop","length,crop",2,"full_interactions",0.0921441241321284,367.896566869035,0.00689615180535394,17.4050104781757
"234","pNat ~ barrier + length + prosper + crop + pisc","barrier,length,prosper,crop,pisc",5,"additive",0.0921557730070626,368.085940353218,0.00690780068028811,17.5943839623585
"232","pNat ~ barrier + length + size + crop + pisc","barrier,length,size,crop,pisc",5,"additive",0.092174652248573,369.337581112718,0.00692667992179857,18.8460247218586
"134","pNat ~ temp + barrier + length + pisc","temp,barrier,length,pisc",4,"additive",0.092191751550741,364.742343713037,0.0069437792239665,14.250787322177
"114","pNat ~ length + prosper + crop","length,prosper,crop",3,"additive",0.0922023576584513,365.798790069046,0.00695438533167679,15.3072336781862
"35","pNat ~ barrier * crop","barrier,crop",2,"full_interactions",0.0923448865467127,367.845498528274,0.00709691421993824,17.3539421374142
"180","pNat ~ barrier + size + prosper + crop","barrier,size,prosper,crop",4,"additive",0.0923852355771965,367.914608622516,0.00713726325042208,17.4230522316565
"48","pNat ~ size + crop","size,crop",2,"additive",0.0923867206840384,367.063665664379,0.00713874835726391,16.5721092735191
"118","pNat ~ length + crop + pisc","length,crop,pisc",3,"additive",0.0924330972785157,368.150736854631,0.00718512495174127,17.6591804637717
"110","pNat ~ length + size + crop","length,size,crop",3,"additive",0.0924553352835888,367.615672004544,0.00720736295681439,17.1241156136842
"186","pNat ~ barrier + prosper + crop + pisc","barrier,prosper,crop,pisc",4,"additive",0.0924752314406876,368.310566304344,0.00722725911391317,17.8190099134843
"119","pNat ~ length * crop * pisc","length,crop,pisc",3,"full_interactions",0.0925022668343276,375.42654535186,0.0072542945075531,24.9349889610004
"56","pNat ~ crop + pisc","crop,pisc",2,"additive",0.0925048704070151,367.975939356832,0.0072568980802406,17.4843829659719
"19","pNat ~ temp * length","temp,length",2,"full_interactions",0.0925161395836822,364.935941336382,0.00726816725690774,14.4443849455225
"63","pNat ~ temp * barrier * prosper","temp,barrier,prosper",3,"full_interactions",0.0925206992624276,364.590350924139,0.00727272693565317,14.0987945332795
"198","pNat ~ temp + barrier + length + size + prosper","temp,barrier,length,size,prosper",5,"additive",0.0925639741616078,366.725694304643,0.00731600183483334,16.2341379137831
"68","pNat ~ temp + length + size","temp,length,size",3,"additive",0.0925816401319525,364.65100800624,0.00733366780517808,14.15945161538
"120","pNat ~ size + prosper + crop","size,prosper,crop",3,"additive",0.0926108342964856,367.071163681657,0.00736286196971114,16.5796072907971
"125","pNat ~ size * crop * pisc","size,crop,pisc",3,"full_interactions",0.0926176608323105,371.47573045683,0.00736968850553603,20.9841740659706
"252","pNat ~ barrier + length + size + prosper + crop + pisc","barrier,length,size,prosper,crop,pisc",6,"additive",0.092623078082171,370.123671815781,0.0073751057553965,19.6321154249211
"184","pNat ~ barrier + size + crop + pisc","barrier,size,crop,pisc",4,"additive",0.0926601032863162,369.831823414094,0.00741213095954171,19.3402670232339
"53","pNat ~ prosper * crop","prosper,crop",2,"full_interactions",0.0926867016462679,366.944441124481,0.00743872931949342,16.4528847336214
"70","pNat ~ temp + length + prosper","temp,length,prosper",3,"additive",0.0926878769165158,365.156741938884,0.00743990458974132,14.6651855480243
"206","pNat ~ temp + barrier + length + prosper + pisc","temp,barrier,length,prosper,pisc",5,"additive",0.0927019605106462,367.095121797215,0.00745398818387176,16.6035654063557
"202","pNat ~ temp + barrier + length + size + pisc","temp,barrier,length,size,pisc",5,"additive",0.0927022538914175,366.78156943291,0.00745428156464309,16.2900130420501
"188","pNat ~ length + size + prosper + crop","length,size,prosper,crop",4,"additive",0.092708912941106,367.755710345847,0.00746094061433158,17.2641539549869
"194","pNat ~ length + prosper + crop + pisc","length,prosper,crop,pisc",4,"additive",0.092712569110006,368.263159034278,0.00746459678323158,17.7716026434185
"126","pNat ~ prosper + crop + pisc","prosper,crop,pisc",3,"additive",0.092722226509946,367.766704377043,0.00747425418317157,17.2751479861828
"74","pNat ~ temp + length + pisc","temp,length,pisc",3,"additive",0.0927421746460421,365.324301521137,0.00749420231926762,14.8327451302775
"131","pNat ~ temp * barrier * length * prosper","temp,barrier,length,prosper",4,"full_interactions",0.0928031037586841,371.630046983281,0.00755513143190965,21.1384905924216
"167","pNat ~ temp * prosper * crop * pisc","temp,prosper,crop,pisc",4,"full_interactions",0.0928704563824582,367.409339293378,0.00762248405568369,16.9177829025185
