"pointid","xcoord","ycoord"
594,-793546.734900001,2238438.40689999
595,-796343.3477,2231845.5637
596,-797800.6776,2230923.3052
597,-798619.824600001,2230276.2621
598,-798922.337,2230199.8724
599,-797436.4866,2228037.4769
600,-797577.7768,2227754.07279999
601,-797836.066600002,2227128.16349999
602,-798230.185200001,2226709.1989
603,-798991.8431,2225907.02659999
604,-800867.550000001,2225524.3822
605,-801375.1261,2225356.2538
606,-802036.202700001,2223448.5573
607,-856575.722399999,2238537.30910001
608,-842161.912100001,2248673.3524
609,-848328.266399999,2246914.146
610,-848274.816400001,2246830.75370001
611,-848461.409200001,2247160.10609999
612,-848414.811300001,2247320.7543
613,-848477.8181,2247215.74699999
614,-856381.225299998,2238685.20560001
615,-848099.8156,2246529.7502
616,-847850.426000001,2246468.9606
617,-864269.811599999,2227685.75090001
618,-855019.1245,2242783.58790001
619,-779408.8072,2245346.7518
620,-794353.809100001,2245941.74629999
621,-794213.8151,2245493.7421
622,-794415.2028,2244724.3045
623,-879497.961800001,2214845.85449999
624,-878804.526800001,2216731.63159999
625,-877860.9422,2218330.2051
626,-840231.8106,2251023.74190001
627,-818797.8149,2250869.7466
628,-819021.811599999,2250631.75210001
629,-819182.814200003,2250540.7465
630,-800723.813400001,2250043.74579999
631,-845075.809299999,2247985.75330001
632,-844998.8144,2248104.74790001
633,-844893.8127,2249805.74480001
634,-842723.814500001,2248825.7485
635,-776097.812300001,2244401.75019999
636,-862273.6781,2236841.4412
637,-862255.092399999,2237064.3626
638,-862250.238500001,2237090.4567
639,-862890.8084,2236610.7457
640,-863372.9232,2236240.6367
641,-863625.813,2230513.74299999
642,-863806.469699999,2230958.6369
643,-864493.0741,2233831.016
644,-871213.814200001,2223625.75500001
645,-871031.811899999,2223779.74540001
646,-871405.838300001,2223236.3784
647,-778379.807600001,2245325.7517
648,-777371.813799999,2245353.7555
649,-811147.7466,2249250.0823
650,-810278.810799998,2249644.74550001
651,-809984.8727,2249241.70050001
652,-809613.810200001,2248587.74609999
653,-802641.807600001,2250071.747
654,-820435.8147,2250743.50149999
655,-820155.817500001,2250757.7496
656,-819623.815599999,2250435.75000001
657,-836630.5333,2252956.6823
658,-836451.8078,2252871.74550001
659,-835013.0131,2252952.3295
660,-838663.816800001,2251219.7513
661,-837025.813100001,2253109.7437
662,-838799.8847,2251172.0905
663,-836680.7493,2252962.1781
664,-836871.812400001,2253081.7499
665,-836339.8073,2252815.7451
666,-835387.8104,2252997.74830001
667,-835359.8102,2252997.7506
668,-844067.809800001,2250169.7522
669,-844004.8118,2250204.74229999
670,-848491.8134,2247495.7436
671,-855147.0669,2241624.57260001
672,-854623.816999999,2242539.7495
673,-854994.808000001,2242784.7509
674,-859546.920399998,2237239.49220001
675,-860937.812699999,2237415.75150001
676,-860888.902100001,2237352.37589999
677,-860522.696799999,2237241.8305
678,-860314.8141,2237170.7442
679,-862057.809999999,2237387.75100001
680,-862407.810299999,2237625.74960001
681,-862239.814200002,2237121.7444
682,-863527.810600001,2235567.7508
683,-863527.807900001,2235601.56499999
684,-863529.806000001,2235511.4123
685,-863401.814099999,2235203.753
686,-863453.136299999,2235266.1952
687,-872662.807700001,2223380.7426
688,-872529.8147,2223359.7424
689,-872774.807700002,2223016.7435
690,-871682.811699999,2222848.7515
691,-872417.8139,2221987.7555
692,-793194.3664,2245179.3831
693,-794227.809499999,2244443.75520001
694,-794452.376399999,2244682.7718
695,-873803.811200002,2220937.74159999
696,-873895.383300002,2220846.1893
697,-875616.8139,2220146.75239999
698,-873971.810000002,2220769.7431
699,-876029.813100002,2220181.7492
700,-876841.81,2219579.7448
701,-876869.811,2219551.7423
702,-877107.8107,2219341.7524
703,-877709.811399999,2218403.7443
704,-877765.812100001,2218375.7433
705,-708683.624099999,2170308.7501
706,-708445.6268,2170602.74960001
707,-710307.6268,2171456.74480001
708,-708417.6279,2170630.75200001
709,-715011.6302,2172184.7501
710,-712967.626599999,2172380.7444
711,-716801.1834,2176578.33189999
712,-716453.6275,2176104.75559999
713,-717035.0174,2176518.0448
714,-723313.621600001,2184112.7527
715,-722526.382700001,2182882.81479999
716,-724055.627,2184112.752
717,-725364.626499998,2181277.74740001
718,-724587.627800001,2183090.7431
719,-724461.629599999,2183398.7512
720,-727562.6272,2184147.7457
721,-727863.625900001,2185974.7536
722,-728066.628100002,2185407.7479
723,-728206.6217,2188473.7537
724,-727681.624399999,2184434.7499
725,-729858.6272,2191315.7452
726,-730082.628499999,2190363.7422
727,-730607.623199999,2192554.74980001
