"pointid","xcoord","ycoord"
394,-1141106.5078,2253423.01640001
395,-1138992.5725,2253764.2164
396,-1138579.8769,2254471.5021
397,-1141057.8757,2307641.8179
398,-1141113.8723,2307111.49850001
399,-1141057.8773,2307685.5094
400,-1128716.8747,2329238.4949
401,-1129003.8828,2334873.5069
402,-1129070.8799,2334795.12560001
403,-1128982.8784,2333606.5022
404,-1141419.5425,2306390.79780001
405,-1142228.1987,2307817.5895
406,-1136624.9385,2269719.6657
407,-1136613.5919,2269796.1252
408,-1156760.7875,2254168.1677
409,-1145314.6542,2253613.04079999
410,-1151076.4939,2254791.2978
411,-1153567.3219,2254422.0629
412,-1154701.5302,2254229.8156
413,-1155354.5525,2254386.9788
414,-1159836.0302,2207289.0067
415,-1159861.0804,2207303.7432
416,-1159910.5942,2216006.61559999
417,-1159915.872,2214529.4963
418,-1160405.8786,2211729.5
419,-1160097.8709,2215313.4982
420,-1158095.8714,2206269.4961
421,-1158165.8725,2205429.50459999
422,-1157787.8718,2206857.4973
423,-1153153.8785,2201369.5039
424,-1153069.8732,2201075.4972
425,-1153503.8729,2201985.5002
426,-1153825.8699,2202293.50080001
427,-1152326.1694,2199495.9681
428,-1152319.2365,2199493.879
429,-1152628.9031,2200144.85500001
430,-1152678.8501,2200192.4301
431,-1156604.8703,2208768.5012
432,-1156541.8734,2209475.491
433,-1156849.8754,2209965.501
434,-1160055.877,2215621.4918
435,-1159901.8763,2215943.50029999
436,-1129829.8784,2259357.4961
437,-1130564.872,2259560.4963
438,-1128492.8777,2259378.49359999
439,-1127401.6952,2259378.8768
440,-1126385.8717,2259637.4907
441,-1126455.8736,2259147.5033
442,-1125545.8761,2261401.4964
443,-1125552.8704,2261380.50100001
444,-1126091.8611,2260351.6037
445,-1124628.8763,2264502.5036
446,-1125237.8789,2263809.498
447,-1118937.8779,2267393.50050001
448,-1119244.3948,2267469.48450001
449,-1119630.8766,2266938.4968
450,-1119646.8907,2266934.2104
451,-1118531.8768,2267197.49470001
452,-1118426.8754,2267260.4931
453,-1116892.5374,2268215.7491
454,-1117125.634,2268123.4865
455,-1116151.3216,2267748.70289999
456,-1115880.9014,2267748.4341
457,-1115284.0301,2268083.3281
458,-1115163.6052,2268210.5726
459,-1114910.0467,2268305.70899999
460,-1114464.6191,2269217.6805
461,-1114778.8431,2268684.50940001
462,-1113758.2985,2270399.322
463,-1113845.689,2270553.9686
464,-1113993.4466,2270714.7397
465,-1114061.1065,2271129.95220001
